dutch,english,topic,section,definition
Holocaust,Holocaust,Topic 7,Het was oorlog,de moord op miljoenen mensen vooral joden tijdens de Tweede Wereldoorlog,the murder of millions of people especially Jews during World War II
hongerwinter,hunger winter,Topic 7,Het was oorlog,de winter aan het eind van de Tweede Wereldoorlog van 1944 tot 1945 veel mensen ging dood door honger en kou,the winter at the end of World War II from 1944 to 1945 many people died from hunger and cold
Joden,Jews,Topic 7,Het was oorlog,Joodse mensen,Jewish people
Jodenster,Jewish star,Topic 7,Het was oorlog,een gele ster die Joodse mensen tijdens de Tweede Wereldoorlog op hun kleding moesten dragen,a yellow star that Jewish people had to wear on their clothing during World War II
kamp,camp,Topic 7,Het was oorlog,een groep tenten of houten gebouwen op een stuk grond,a group of tents or wooden buildings on a piece of land
Nationaal Monument,National Monument,Topic 7,Het was oorlog,een hoog wit beeld op de Dam in Amsterdam dat herinnert aan de slachtoffers van de oorlog,a tall white statue on Dam Square in Amsterdam that commemorates the victims of war
NAVO,NATO,Topic 7,Het was oorlog,een militaire samenwerking tussen landen in Europa en de Verenigde Staten en Canada,a military cooperation between countries in Europe and the United States and Canada
NSB'er,NSB member,Topic 7,Het was oorlog,personen die tijdens de Tweede Wereldoorlog met de Duitsers samenwerkten,people who collaborated with the Germans during World War II
onderduiker,person in hiding,Topic 7,Het was oorlog,persoon die zich verstopt voor de vijand,person who hides from the enemy
Roma en Sinti,Roma and Sinti,Topic 7,Het was oorlog,Roma en Sinti zijn traditionele bevolkingsgroepen in Europa met een eigen cultuur maar geen eigen land,Roma and Sinti are traditional population groups in Europe with their own culture but no own country
Tweede Wereldoorlog,Second World War,Topic 7,Het was oorlog,een grote oorlog van 1939 tot 1945,a major war from 1939 to 1945
verbod,prohibition,Topic 7,Het was oorlog,wanneer iets niet toegestaan is het is verboden,when something is not allowed it is prohibited
Verenigde Naties,United Nations,Topic 7,Het was oorlog,een internationale organisatie waarin bijna alle landen in de wereld samenwerken,an international organization in which almost all countries in the world cooperate
verzet,resistance,Topic 7,Het was oorlog,je probeert te voorkomen dat iets gebeurt wat je niet wil = het protest,you try to prevent something from happening that you don't want = protest
vlag uithangen,hang out the flag,Topic 7,Het was oorlog,een vlag buiten aan je huis hangen bij een speciale gebeurtenis,hanging a flag outside your house during a special event
vrijheid,freedom,Topic 7,Het was oorlog,de toestand waarin je vrij bent,the state in which you are free
abortus,abortion,Topic 8,Wetten en regels,de behandeling waarmee iemand een zwangerschap laat stoppen,the treatment with which someone terminates a pregnancy
adopteren,adopt,Topic 8,Wetten en regels,kinderen van andere ouders officieel registreren als jouw kinderen,officially registering children of other parents as your children
beledigen,insult,Topic 8,Wetten en regels,dingen zeggen die pijnlijk of verdrietig voor iemand kunnen zijn,saying things that can be painful or sad for someone
discriminatie,discrimination,Topic 8,Wetten en regels,het verschillend behandelen van mensen terwijl dat niet mag bijvoorbeeld vanwege de kleur van hun huid,treating people differently when that is not allowed for example because of the color of their skin
euthanasie,euthanasia,Topic 8,Wetten en regels,de behandeling waarmee iemand die heel erg ziek is en veel pijn heeft door een arts wordt geholpen om te sterven,the treatment with which someone who is very sick and in a lot of pain is helped by a doctor to die
geweld,violence,Topic 8,Wetten en regels,mensen of dieren pijn doen,hurting people or animals
grondwet,constitution,Topic 8,Wetten en regels,de belangrijkste wetten van een land waarin staat hoe een land bestuurd wordt,the most important laws of a country stating how a country is governed
huiselijk geweld,domestic violence,Topic 8,Wetten en regels,thuis geweld gebruiken bijvoorbeeld tegen je kinderen of je partner,using violence at home for example against your children or your partner
LHBTIQ+,LGBTIQ+,Topic 8,Wetten en regels,afkorting voor personen die lesbisch homo biseksueel transgender of intersekse zijn,abbreviation for people who are lesbian gay bisexual transgender or intersex
meldpunt,reporting point,Topic 8,Wetten en regels,een instantie waar je heen kunt als je niet eerlijk bent behandeld,an agency you can go to if you have not been treated fairly
mishandeling,abuse,Topic 8,Wetten en regels,mensen of dieren pijn doen,hurting people or animals
orgaandonatie,organ donation,Topic 8,Wetten en regels,een (overleden) persoon geeft een orgaan aan een ziek persoon die het nodig heeft,a (deceased) person gives an organ to a sick person who needs it
respecteren,respect,Topic 8,Wetten en regels,respect hebben voor iemand,having respect for someone
seksueel misbruik,sexual abuse,Topic 8,Wetten en regels,seks hebben met een persoon terwijl die dat niet wil,having sex with a person while they don't want to
Veilig Thuis,Safe at Home,Topic 8,Wetten en regels,een instantie waar je geweld thuis kunt melden,an agency where you can report violence at home
vrijheid van godsdienst,freedom of religion,Topic 8,Wetten en regels,de vrijheid van burgers om elk geloof te kiezen of om geen geloof te hebben,the freedom of citizens to choose any faith or to have no faith
vrijheid van meningsuiting,freedom of expression,Topic 8,Wetten en regels,de vrijheid van burgers om hun mening te geven zonder straf te krijgen,the freedom of citizens to express their opinion without being punished
wet,law,Topic 8,Wetten en regels,de officiële regels van een land over wat wel en niet mag,the official rules of a country about what is and is not allowed
ambtenaar,civil servant,Topic 8,De scheiding van de macht,iemand die voor de overheid werkt,someone who works for the government
godsdienstvrijheid,religious freedom,Topic 8,De scheiding van de macht,de vrijheid van burgers om elk geloof te kiezen of om geen geloof te hebben,the freedom of citizens to choose any faith or to have no faith
politieke macht,political power,Topic 8,De scheiding van de macht,de macht van mensen die het land besturen,the power of people who govern the country
politieke partij,political party,Topic 8,De scheiding van de macht,een groep mensen met dezelfde politieke ideeën,a group of people with the same political ideas
rechter,judge,Topic 8,De scheiding van de macht,iemand die beoordeelt of mensen zich aan de wet hebben gehouden en bepaalt welke straf ze moeten krijgen,someone who judges whether people have followed the law and determines what punishment they should receive
rechterlijke macht,judicial power,Topic 8,De scheiding van de macht,de macht van de rechters in een land,the power of judges in a country
scheiding tussen kerk en staat,separation of church and state,Topic 8,De scheiding van de macht,de kerk en de staat hebben een eigen bestuur ze hebben geen invloed op elkaar,the church and the state have their own government they have no influence on each other
scheiding van machten,separation of powers,Topic 8,De scheiding van de macht,de situatie waarin niet één persoon of één partij alle macht heeft,the situation where not one person or one party has all the power
seculier,secular,Topic 8,De scheiding van de macht,niet religieus,not religious
staat,state,Topic 8,De scheiding van de macht,het bestuur van een land de overheid,the government of a country the government
uitvoerende macht,executive power,Topic 8,De scheiding van de macht,de bestuurders en ambtenaren die de wetten uitvoeren,the administrators and civil servants who execute the laws
volksvertegenwoordiger,representative,Topic 8,De scheiding van de macht,iemand die door het volk is gekozen in het parlement,someone who has been elected by the people to parliament
wetgevende macht,legislative power,Topic 8,De scheiding van de macht,de mensen in de politiek die wetten maken en aanpassen,the people in politics who make and modify laws
actief kiesrecht,active voting right,Topic 8,De democratie,het recht om te stemmen bij verkiezingen,the right to vote in elections
beleid,policy,Topic 8,De democratie,de manier waarop de overheid belangrijke zaken regelt,the way the government handles important matters
democratie,democracy,Topic 8,De democratie,het bestuur over een land waarbij het volk de bestuurders mag kiezen,the government of a country where the people may choose the rulers
Europese Unie,European Union,Topic 8,De democratie,een groep landen in Europa die samenwerken,a group of countries in Europe that work together
gemeenteraad,municipal council,Topic 8,De democratie,een groep mensen die is gekozen als bestuur van een stad of een dorp,a group of people elected as government of a city or village
kieslijst,candidate list,Topic 8,De democratie,papier met alle namen van mensen die meedoen aan de verkiezingen,paper with all names of people participating in the elections
leeftijdsgrens,age limit,Topic 8,De democratie,de leeftijd waarop iets wel of niet mag bijvoorbeeld voor het kopen van alcohol (18 jaar),the age at which something is or is not allowed for example for buying alcohol (18 years)
legaal,legal,Topic 8,De democratie,legale dingen zijn toegestaan volgens de wet (niet illegaal),legal things are allowed according to the law (not illegal)
linkse partij,left-wing party,Topic 8,De democratie,linkse politieke partijen willen gelijkheid tussen mensen. De overheid moet mensen helpen als ze weinig geld hebben,left-wing political parties want equality between people. The government should help people when they have little money
middenpartij,center party,Topic 8,De democratie,een politieke partij die niet links en niet rechts is maar in het midden ligt,a political party that is neither left nor right but in the middle
opkomst,turnout,Topic 8,De democratie,het aantal mensen dat komt bijvoorbeeld het aantal mensen dat stemt bij verkiezingen,the number of people who come for example the number of people who vote in elections
passief kiesrecht,passive voting right,Topic 8,De democratie,het recht om mee te doen met verkiezingen andere mensen mogen jou kiezen,the right to participate in elections other people may choose you
politicus,politician,Topic 8,De democratie,iemand die in de politiek werkt,someone who works in politics
politieke partij,political party,Topic 8,De democratie,een groep mensen met dezelfde politieke ideeën,a group of people with the same political ideas
Provinciale Staten,Provincial States,Topic 8,De democratie,het politieke bestuur van de provincie,the political government of the province
rechtse partij,right-wing party,Topic 8,De democratie,rechtse politieke partijen willen weinig invloed van de overheid. Mensen moeten zelf geld verdienen,right-wing political parties want little influence from the government. People should earn money themselves
standpunt,position,Topic 8,De democratie,de mening,the opinion
stem,vote,Topic 8,De democratie,de keuze bij een verkiezing je stemt voor een partij of een persoon,the choice in an election you vote for a party or a person
stembiljet,ballot,Topic 8,De democratie,papier waarop je jouw stem invult,paper on which you fill in your vote
stembureau,polling station,Topic 8,De democratie,een plaats waar je bij verkiezingen kunt stemmen,a place where you can vote in elections
stemhokje,voting booth,Topic 8,De democratie,kleine ruimte in het stembureau waarin je kunt stemmen,small space in the polling station where you can vote
stemmen,vote,Topic 8,De democratie,kiezen voor een partij of een persoon bij verkiezingen,choosing a party or person in elections
stempas,voting pass,Topic 8,De democratie,een pas die je moet inleveren als je wilt stemmen,a pass you must hand in if you want to vote
Tweede Kamer,House of Representatives,Topic 8,De democratie,een deel van het parlement: de leden zijn door het volk gekozen ze controleren de regering en mogen zelf wetten maken,a part of parliament: the members are elected by the people they control the government and may make laws themselves
vakje,box,Topic 8,De democratie,een hokje op een papier je kunt een kruisje (x) zetten,a box on paper you can put a cross (x)
verkiezing,election,Topic 8,De democratie,burgers mogen de bestuurders kiezen door te stemmen,citizens may choose the rulers by voting
verkiezingsprogramma,election program,Topic 8,De democratie,een tekst van een politieke partij met de plannen en ideeën van die partij,a text from a political party with the plans and ideas of that party
volksvertegenwoordiger,representative,Topic 8,De democratie,iemand die door het volk is gekozen in het parlement,someone who has been elected by the people to parliament
waterschap,water board,Topic 8,De democratie,een organisatie van de overheid die zorgt voor het water in een bepaald gebied,a government organization that takes care of water in a certain area
democratie,democracy,Topic 8,De koning,het bestuur van een land waarbij het volk de bestuurders mag kiezen,the government of a country where the people may choose the rulers
grondwet,constitution,Topic 8,De koning,de belangrijkste wetten van een land waarin staat hoe een land bestuurd wordt,the most important laws of a country stating how a country is governed
koningshuis,royal house,Topic 8,De koning,de directe familie van de koning of koningin,the immediate family of the king or queen
minister-president,prime minister,Topic 8,De koning,de minister die de leider is van een land = de premier,the minister who is the leader of a country = the premier
monarchie,monarchy,Topic 8,De koning,een land waarin een koning of koningin aan het hoofd van het bestuur staat,a country where a king or queen is at the head of government
parlement,parliament,Topic 8,De koning,alle politici (volksvertegenwoordigers) die door het volk zijn gekozen en die samen het land besturen. Het parlement kan de regering controleren en wetten maken,all politicians (representatives) who have been elected by the people and who together govern the country. Parliament can control the government and make laws
Prinsjesdag,Prince's Day,Topic 8,De koning,dag waarop de koning de plannen van de regering voorleest. Dat gebeurt ieder jaar op de derde dinsdag in september,day on which the king reads out the government's plans. This happens every year on the third Tuesday in September
ramp,disaster,Topic 8,De koning,een groot ongeluk met veel mensen of dieren,a major accident with many people or animals
regering,government,Topic 8,De koning,de leiders van een land,the leaders of a country
republiek,republic,Topic 8,De koning,een land met een president aan het hoofd bijvoorbeeld de Verenigde Staten van Amerika,a country with a president at the head for example the United States of America
staatsbezoek,state visit,Topic 8,De koning,een officieel bezoek van een koning of president aan een ander land,an official visit by a king or president to another country
symbolisch,symbolic,Topic 8,De koning,iets wat symbolisch is is niet letterlijk maar een symbool; het gaat niet over de inhoud,something that is symbolic is not literal but a symbol; it's not about the content
vertegenwoordigen,represent,Topic 8,De koning,iets doen in de naam van andere mensen een organisatie of een land,doing something in the name of other people an organization or a country
ambtenaar,civil servant,Topic 8,De landelijke politiek,iemand die voor de overheid werkt,someone who works for the government
belastingdienst,tax authority,Topic 8,De landelijke politiek,de instantie die zorgt dat de belastingen betaald worden,the agency that ensures taxes are paid
beleid,policy,Topic 8,De landelijke politiek,de manier waarop de overheid belangrijke zaken regelt,the way the government handles important matters
coalitie,coalition,Topic 8,De landelijke politiek,een samenwerking tussen verschillende poltieke partijen ze vormen samen de regering (= niet de oppositie),a cooperation between different political parties they form the government together (= not the opposition)
DUO,DUO,Topic 8,De landelijke politiek,afkorting van: dienst uitvoering onderwijs regelt bijvoorbeeld de financieringen voor studenten,abbreviation for: education executive agency arranges for example financing for students
Eerste Kamer,Senate,Topic 8,De landelijke politiek,een deel van het parlement. De leden zijn niet door het volk gekozen. Ze controleren het werk van de regering en de wetten ná de Tweede Kamer,a part of parliament. The members are not elected by the people. They control the work of the government and the laws after the House of Representatives
kabinet,cabinet,Topic 8,De landelijke politiek,alle ministers en staatssecratarissen van een land zijn samen het kabinet,all ministers and state secretaries of a country together are the cabinet
meerderheid,majority,Topic 8,De landelijke politiek,de grootste groep,the largest group
ministerie,ministry,Topic 8,De landelijke politiek,een afdeling van de regering voor een bepaald onderwerp zoals het ministerie voor Wonen of Financiën,a department of the government for a specific subject such as the ministry for Housing or Finance
minster,minister,Topic 8,De landelijke politiek,een persoon die lid is van de regering en die het hoofd is van een ministerie bijvoorbeeld de minister van Financiën,a person who is a member of the government and who is the head of a ministry for example the minister of Finance
oppositie,opposition,Topic 8,De landelijke politiek,de politieke partijen die niet in de regering zitten (= niet de coalitie),the political parties that are not in government (= not the coalition)
regeerakkoord,coalition agreement,Topic 8,De landelijke politiek,alle plannen en afspraken van de partijen in een nieuwe regering,all plans and agreements of the parties in a new government
regering,government,Topic 8,De landelijke politiek,de leiders van een land,the leaders of a country
rijksoverheid,national government,Topic 8,De landelijke politiek,de nationale overheid van een land,the national government of a country
staatssecretaris,state secretary,Topic 8,De landelijke politiek,een lid van de regering die een minister helpt (de onderminister) bijvoorbeeld de staatssecretaris van Financiën,a member of the government who helps a minister (the underminister) for example the state secretary of Finance
Tweede Kamer,House of Representatives,Topic 8,De landelijke politiek,een deel van het parlement. De leden zijn door het volk gekozen. Ze controleren de regering en mogen zelf wetten maken,a part of parliament. The members are elected by the people. They control the government and may make laws themselves
Tweede Kamerlid,Member of Parliament,Topic 8,De landelijke politiek,iemand die door het volk is gekozen in de Tweede Kamer (een volksvertegenwoordiger),someone who has been elected by the people to the House of Representatives (a representative)
uitvoeringsorganisatie,implementing organization,Topic 8,De landelijke politiek,organisaties van de overheid die het beleid uitvoeren zoals de belastingdienst het UWV en DUO,government organizations that implement policy such as the tax authority UWV and DUO
UWV,UWV,Topic 8,De landelijke politiek,een organisatie die zorgt dat werknemers geld krijgen als ze werkloos of ziek worden en die mensen zonder werk helpt met nieuw werk zoeken,an organization that ensures employees get money when they become unemployed or sick and helps people without work find new work
wetsvoorstel,bill,Topic 8,De landelijke politiek,een voorstel voor een nieuwe wet het parlement (de Eerste en Tweede Kamer) moeten het nog goedkeuren,a proposal for a new law parliament (the Senate and House of Representatives) must still approve it
zetel,seat,Topic 8,De landelijke politiek,een plaats (stoel) in het parlement of in de gemeenteraad,a place (seat) in parliament or in the municipal council
duurzame energie,sustainable energy,Topic 8,De provincie,energie uit de wind of de zon,energy from wind or sun
industrieterrein,industrial area,Topic 8,De provincie,een gebied met veel fabrieken en kantoren er wonen geen mensen,an area with many factories and offices no people live there
milieu,environment,Topic 8,De provincie,het water de grond en de lucht om ons heen,the water soil and air around us
natuurgebied,nature area,Topic 8,De provincie,een gebied met mooie natuur,an area with beautiful nature
provincie,province,Topic 8,De provincie,een deel van een land met een eigen bestuur zoals Zuid-Holland Gelderland of Limburg,a part of a country with its own government such as South Holland Gelderland or Limburg
ruimtelijke ordening,spatial planning,Topic 8,De provincie,het verdelen van de ruimte op een goede manier zodat er plaats is voor wonen natuur winkels verkeer enz,dividing space in a good way so there is room for living nature shops traffic etc
toezicht houden op,supervise,Topic 8,De provincie,controleren,control
algemene plaatselijke verordening,general local regulation,Topic 8,De gemeente,regels die in de gemeente gelden,rules that apply in the municipality
bestemmingsplan,zoning plan,Topic 8,De gemeente,document met plannen voor een gebied,document with plans for an area
brandweer,fire department,Topic 8,De gemeente,de organisatie die branden uitmaakt,the organization that puts out fires
burgemeester,mayor,Topic 8,De gemeente,het hoofd van een gemeente,the head of a municipality
gemeente,municipality,Topic 8,De gemeente,het bestuur van een stad of meerdere dorpen samen de burgemeester is het hoofd,the government of a city or several villages together the mayor is the head
gemeenteraad,municipal council,Topic 8,De gemeente,een groep mensen die is gekozen als bestuur van een stad of een dorp,a group of people elected as government of a city or village
gemeenteraadsverkiezingen,municipal elections,Topic 8,De gemeente,inwoners mogen het bestuur van hun gemeente kiezen door te stemmen,residents may choose the government of their municipality by voting
GGD,Public Health Service,Topic 8,De gemeente,een organisatie in een gemeente voor gezondheidszorg,an organization in a municipality for healthcare
inenting,vaccination,Topic 8,De gemeente,een injectie om te voorkomen dat je ziek wordt (= de vaccinatie),an injection to prevent you from getting sick (= vaccination)
jeugdzorg,youth care,Topic 8,De gemeente,de zorg voor de veiligheid van kinderen en jongeren,care for the safety of children and young people
participatiewet,participation act,Topic 8,De gemeente,de wet die mensen zonder werk helpt om nieuw werk te vinden,the law that helps people without work find new work
politie,police,Topic 8,De gemeente,een dienst die ervoor zorgt dat mensen zich aan de wet houden en dat het veilig is op straat,a service that ensures people follow the law and that it is safe on the street
soa-test,STD test,Topic 8,De gemeente,de test die kan aantonen of je een seksueel overdraagbare aandoening (soa) hebt,the test that can show if you have a sexually transmitted disease (STD)
thuiszorg,home care,Topic 8,De gemeente,hulp aan mensen die thuis wonen en niet goed voor zichzelf kunnen zorgen bijvoorbeeld omdat ze oud of ziek zijn,help for people who live at home and cannot take good care of themselves for example because they are old or sick
uitkering,benefit,Topic 8,De gemeente,geld dat je meestal van de overheid krijgt omdat je er recht op hebt,money you usually get from the government because you are entitled to it
werkgelegenheid,employment,Topic 8,De gemeente,hoeveel banen er voor mensen zijn,how many jobs there are for people
beleid,policy,Topic 8,De Europese Unie,de manier waarop de overheid belangrijke zaken regelt,the way the government handles important matters
Europees parlement,European Parliament,Topic 8,De Europese Unie,gekozen volksvertegenwoordigers van de Europese Unie,elected representatives of the European Union
Europese Unie,European Union,Topic 8,De Europese Unie,een groep landen in Europa die samenwerken,a group of countries in Europe that work together
eurozone,eurozone,Topic 8,De Europese Unie,de landen waar je met de euro kunt betalen,the countries where you can pay with the euro
goederen,goods,Topic 8,De Europese Unie,de dingen; de voorwerpen,the things; the objects
infrastructuur,infrastructure,Topic 8,De Europese Unie,alle verbindingen die nodig zijn om mensen spullen en informatie te vervoeren en verspreiden bijvoorbeeld wegen spoorlijnen en telefoonkabels,all connections needed to transport and distribute people goods and information for example roads railways and telephone cables
interne markt,internal market,Topic 8,De Europese Unie,de economische samenwerking tussen landen in de EU,the economic cooperation between countries in the EU
lidstaat,member state,Topic 8,De Europese Unie,een land in de Europese Unie,a country in the European Union
